Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ALCOCK LAKE,7600,1,495937,943040,2014,25.6,49,59,37,94,30,40,,49.99361111,,49.99361111,,94.51111111,,94.51111111,,-94.51111111,,-94.51111111
ALCOCK LAKE,7600,1,495937,943040,2015,27.9,49,59,37,94,30,40,,49.99361111,,49.99361111,,94.51111111,,94.51111111,,-94.51111111,,-94.51111111
ALCOCK LAKE,7600,1,495937,943040,2016,28.6,49,59,37,94,30,40,,49.99361111,,49.99361111,,94.51111111,,94.51111111,,-94.51111111,,-94.51111111
ALCOCK LAKE,7600,2,494936,942936,2014,28,49,49,36,94,29,36,,49.82666667,,49.82666667,,94.49333333,,94.49333333,,-94.49333333,,-94.49333333
ALCOCK LAKE,7600,2,494936,942936,2015,34.7,49,49,36,94,29,36,,49.82666667,,49.82666667,,94.49333333,,94.49333333,,-94.49333333,,-94.49333333
ALCOCK LAKE,7600,2,494936,942936,2016,28.2,49,49,36,94,29,36,,49.82666667,,49.82666667,,94.49333333,,94.49333333,,-94.49333333,,-94.49333333
ALLAN LAKE,55,1,494104,824624,2014,19.3,49,41,4,82,46,24,,49.68444444,,49.68444444,,82.77333333,,82.77333333,,-82.77333333,,-82.77333333
ALLAN LAKE,55,1,494104,824624,2015,23.2,49,41,4,82,46,24,,49.68444444,,49.68444444,,82.77333333,,82.77333333,,-82.77333333,,-82.77333333
ALLAN LAKE,55,1,494104,824624,2016,29.1,49,41,4,82,46,24,,49.68444444,,49.68444444,,82.77333333,,82.77333333,,-82.77333333,,-82.77333333
ALLAN LAKE,55,2,494021,824443,2014,30.7,49,40,21,82,44,43,,49.6725,,49.6725,,82.74527778,,82.74527778,,-82.74527778,,-82.74527778
ALLAN LAKE,55,2,494021,824443,2015,25.9,49,40,21,82,44,43,,49.6725,,49.6725,,82.74527778,,82.74527778,,-82.74527778,,-82.74527778
ALLAN LAKE,55,2,494021,824443,2016,22.1,49,40,21,82,44,43,,49.6725,,49.6725,,82.74527778,,82.74527778,,-82.74527778,,-82.74527778
ALLEN LAKE,6114,1,450725,781510,2002,10,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2003,5.35,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2004,5.35,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2005,4.9,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2006,9.75,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2007,5.875,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2008,6.65,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2009,6.15,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2010,5.1,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2011,9.7,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2012,5.8,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2013,6,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2014,7.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2015,5,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2016,5.7,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,2,450718,781501,2014,7.3,45,7,18,78,15,1,,45.12166667,,45.12166667,,78.25027778,,78.25027778,,-78.25027778,,-78.25027778
