"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.4","","","","1"
"2007-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.7","","","","1"
"2007-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.9","","","","1"
"2007-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","71.3","","","","1"
"2007-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","71.6","","","","1"
"2007-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","71.6","","","","1"
"2007-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","72.2","","","","1"
"2007-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","72.3","","","","1"
"2008-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","73.1","","","","1"
"2008-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","73.5","","","","1"
"2008-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","73.7","","","","1"
"2008-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","73.8","","","","1"
"2008-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","73.8","","","","1"
"2008-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.2","","","","1"
"2008-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.2","","","","1"
"2008-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.4","","","","1"
"2008-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.4","","","","1"
"2008-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.3","","","","1"
"2008-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.2","","","","1"
"2008-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.3","","","","1"
"2009-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.3","","","","1"
"2009-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","74.3","","","","1"
